Time,Open,High,Low,Close,Volume,date
1609459200000,37.336,37.4,37.019,37.374,263.6351,2021-01-01 00:00:00
1609462800000,37.354,37.896,37.354,37.667,154.51460165,2021-01-01 01:00:00
1609466400000,37.638,37.99,37.583,37.932,123.91487628,2021-01-01 02:00:00
1609470000000,37.999,38.079,37.79,37.921,297.17977242,2021-01-01 03:00:00
1609473600000,37.979,38.065,37.85,37.85,17.1074,2021-01-01 04:00:00
1609477200000,37.832,37.862,37.625,37.728,107.4792,2021-01-01 05:00:00
1609480800000,37.769,37.832,37.507,37.646,54.235,2021-01-01 06:00:00
1609484400000,37.616,37.703,37.406,37.703,696.20963978,2021-01-01 07:00:00
1609488000000,37.656,37.677,37.374,37.39,22.94024624,2021-01-01 08:00:00
1609491600000,37.508,37.896,37.498,37.896,326.89755136,2021-01-01 09:00:00
1609495200000,37.898,38.82,37.898,38.76,401.4814555,2021-01-01 10:00:00
1609498800000,38.82,38.952,38.416,38.416,281.75160554,2021-01-01 11:00:00
1609502400000,38.576,38.833,38.28,38.333,142.97948439,2021-01-01 12:00:00
1609506000000,38.407,38.5,38.311,38.324,52.5866,2021-01-01 13:00:00
1609509600000,38.36,38.465,38.1,38.1,203.4431463,2021-01-01 14:00:00
1609513200000,38.1,38.393,37.879,38.154,765.5648,2021-01-01 15:00:00
1609516800000,38.111,38.348,38.06,38.147,399.7585766,2021-01-01 16:00:00
1609520400000,38.153,38.253,37.568,37.852,500.10409138,2021-01-01 17:00:00
1609524000000,37.738,38.127,37.0,37.607,567.81550195,2021-01-01 18:00:00
1609527600000,37.513,37.664,37.39,37.421,163.69117216,2021-01-01 19:00:00
1609531200000,37.4,37.537,37.163,37.477,648.04116265,2021-01-01 20:00:00
1609534800000,37.435,37.455,37.317,37.318,371.39256004,2021-01-01 21:00:00
1609538400000,37.317,37.6,37.265,37.544,444.9507,2021-01-01 22:00:00
1609542000000,37.499,37.9,37.492,37.726,200.0364,2021-01-01 23:00:00
1609545600000,37.745,37.745,36.837,36.958,194.2258,2021-01-02 00:00:00
1609549200000,36.963,37.291,36.813,37.205,252.07951072,2021-01-02 01:00:00
1609552800000,37.179,37.344,37.179,37.221,36.23324264,2021-01-02 02:00:00
1609556400000,37.19,37.533,37.188,37.533,110.3941,2021-01-02 03:00:00
1609560000000,37.492,37.492,37.346,37.376,21.37436913,2021-01-02 04:00:00
1609563600000,37.394,37.733,37.356,37.66,145.8271,2021-01-02 05:00:00
1609567200000,37.621,37.621,37.43,37.457,715.11513095,2021-01-02 06:00:00
1609570800000,37.475,37.532,37.345,37.345,18.32928957,2021-01-02 07:00:00
1609574400000,37.345,37.363,37.052,37.227,51.91024816,2021-01-02 08:00:00
1609578000000,37.106,37.225,36.979,37.133,21.2059,2021-01-02 09:00:00
1609581600000,37.004,37.442,36.958,37.133,124.86999705,2021-01-02 10:00:00
1609585200000,37.169,37.316,37.169,37.316,41.85143222,2021-01-02 11:00:00
1609588800000,37.326,37.82,36.902,37.82,803.715397,2021-01-02 12:00:00
1609592400000,37.767,38.229,37.649,38.163,756.88249851,2021-01-02 13:00:00
1609596000000,38.116,38.163,37.694,37.971,450.11056068,2021-01-02 14:00:00
1609599600000,38.031,38.192,37.94,38.044,653.39078857,2021-01-02 15:00:00
1609603200000,38.076,38.321,37.877,38.321,850.07448989,2021-01-02 16:00:00
1609606800000,38.324,38.836,38.321,38.408,257.6553,2021-01-02 17:00:00
