Time,Open,High,Low,Close,Volume,date
1672531200000,246.285,246.369,245.931,246.046,30.9901,2023-01-01 00:00:00
1672531500000,246.176,246.176,245.996,246.016,17.18,2023-01-01 00:05:00
1672531800000,246.035,246.036,245.98,246.036,3.0667,2023-01-01 00:10:00
1672532100000,245.966,246.137,245.861,246.137,62.4032,2023-01-01 00:15:00
1672532400000,246.138,246.406,246.138,246.299,9.1591,2023-01-01 00:20:00
1672532700000,246.337,246.62,246.337,246.62,8.2358,2023-01-01 00:25:00
1672533000000,246.604,246.604,246.391,246.391,37.8788,2023-01-01 00:30:00
1672533300000,246.353,246.353,246.199,246.276,8.8902,2023-01-01 00:35:00
1672533600000,246.196,246.196,245.81,245.81,25.4912,2023-01-01 00:40:00
1672533900000,245.8,246.085,245.591,246.011,71.3525,2023-01-01 00:45:00
1672534200000,246.008,246.038,245.945,246.038,6.1948,2023-01-01 00:50:00
1672534500000,246.038,246.096,245.966,245.966,11.6948,2023-01-01 00:55:00
1672534800000,245.848,245.916,245.707,245.707,14.3744,2023-01-01 01:00:00
1672535100000,245.735,245.882,245.735,245.882,32.093,2023-01-01 01:05:00
1672535400000,246.013,246.044,245.941,245.977,5.7554,2023-01-01 01:10:00
1672535700000,245.965,246.008,245.885,245.946,20.3338,2023-01-01 01:15:00
1672536000000,245.968,245.972,245.806,245.853,29.4054,2023-01-01 01:20:00
1672536300000,245.92,245.954,245.699,245.936,52.6181,2023-01-01 01:25:00
1672536600000,245.868,245.909,245.835,245.836,9.6706,2023-01-01 01:30:00
1672536900000,245.76,245.853,245.498,245.624,42.3327,2023-01-01 01:35:00
1672537200000,245.707,245.744,245.707,245.71,15.4222,2023-01-01 01:40:00
1672537500000,245.765,245.904,245.688,245.873,8.4831,2023-01-01 01:45:00
1672537800000,245.909,245.909,245.732,245.732,4.66,2023-01-01 01:50:00
1672538100000,245.807,245.995,245.807,245.912,9.9442,2023-01-01 01:55:00
1672538400000,245.912,245.912,245.51,245.669,27.8815,2023-01-01 02:00:00
1672538700000,245.679,245.68,245.637,245.672,5.7768,2023-01-01 02:05:00
1672539000000,245.585,245.793,245.431,245.64,65.479,2023-01-01 02:10:00
1672539300000,245.695,245.722,245.642,245.643,7.206,2023-01-01 02:15:00
1672539600000,245.638,245.657,245.555,245.555,12.981,2023-01-01 02:20:00
1672539900000,245.554,245.672,245.495,245.672,11.6871,2023-01-01 02:25:00
1672540200000,245.61,245.838,245.607,245.838,17.092,2023-01-01 02:30:00
1672540500000,245.767,245.768,245.714,245.714,5.3669,2023-01-01 02:35:00
1672540800000,245.71,245.71,245.499,245.499,14.5173,2023-01-01 02:40:00
1672541100000,245.495,245.512,245.363,245.388,24.9304,2023-01-01 02:45:00
1672541400000,245.387,245.428,245.293,245.426,15.7717,2023-01-01 02:50:00
1672541700000,245.389,245.422,245.291,245.406,10.6849,2023-01-01 02:55:00
1672542000000,245.406,245.406,245.241,245.29,21.6895,2023-01-01 03:00:00
1672542300000,245.29,245.453,245.29,245.453,59.1454,2023-01-01 03:05:00
1672542600000,245.46,245.565,245.46,245.537,3.6635,2023-01-01 03:10:00
1672542900000,245.525,245.525,245.259,245.29,20.4035,2023-01-01 03:15:00
1672543200000,245.291,245.445,245.291,245.418,5.9425,2023-01-01 03:20:00
1672543500000,245.449,245.449,245.365,245.365,9.2421,2023-01-01 03:25:00
1672543800000,245.35,245.394,245.291,245.372,43.3547,2023-01-01 03:30:00
1672544100000,245.372,245.38,245.372,245.379,8.6177,2023-01-01 03:35:00
1672544400000,245.379,245.379,245.332,245.369,1.8813,2023-01-01 03:40:00
1672544700000,245.368,245.425,245.335,245.425,13.0078,2023-01-01 03:45:00
1672545000000,245.425,245.453,245.354,245.453,46.1781,2023-01-01 03:50:00
1672545300000,245.474,245.475,245.373,245.373,15.9976,2023-01-01 03:55:00
1672545600000,245.386,245.387,245.32,245.32,5.1107,2023-01-01 04:00:00
1672545900000,245.282,245.312,245.011,245.011,32.9677,2023-01-01 04:05:00
1672546200000,245.01,245.01,244.801,244.801,19.6267,2023-01-01 04:10:00
1672546500000,244.803,245.025,244.803,245.025,8.5696,2023-01-01 04:15:00
1672546800000,244.872,244.919,244.855,244.862,13.0527,2023-01-01 04:20:00
1672547100000,244.815,244.815,244.691,244.691,99.9197,2023-01-01 04:25:00
1672547400000,244.69,244.69,244.34,244.34,76.3889,2023-01-01 04:30:00
1672547700000,244.34,244.344,244.274,244.28,194.6765,2023-01-01 04:35:00
1672548000000,244.275,244.275,244.0,244.031,539.2594,2023-01-01 04:40:00
1672548300000,243.987,244.024,243.901,243.901,32.3471,2023-01-01 04:45:00
1672548600000,243.901,244.261,243.901,243.933,31.068,2023-01-01 04:50:00
1672548900000,243.932,243.932,243.68,243.68,16.9503,2023-01-01 04:55:00
1672549200000,243.792,243.848,243.612,243.848,14.4307,2023-01-01 05:00:00
1672549500000,243.92,243.992,243.835,243.986,15.5274,2023-01-01 05:05:00
1672549800000,243.88,243.88,243.8,243.848,10.4891,2023-01-01 05:10:00
1672550100000,243.882,243.997,243.847,243.847,5.8274,2023-01-01 05:15:00
1672550400000,243.832,244.066,243.831,244.066,29.4734,2023-01-01 05:20:00
1672550700000,244.082,244.249,244.082,244.22,6.1738,2023-01-01 05:25:00
1672551000000,244.214,244.214,243.999,244.057,3.1328,2023-01-01 05:30:00
1672551300000,244.056,244.154,244.044,244.044,8.2995,2023-01-01 05:35:00
1672551600000,243.924,243.939,243.848,243.918,8.1614,2023-01-01 05:40:00
1672551900000,243.985,244.032,243.975,244.032,3.1079,2023-01-01 05:45:00
1672552200000,243.956,244.003,243.783,243.854,21.5281,2023-01-01 05:50:00
1672552500000,243.871,244.225,243.871,244.097,49.8425,2023-01-01 05:55:00
1672552800000,244.065,244.271,244.065,244.271,29.7784,2023-01-01 06:00:00
1672553100000,244.257,244.258,243.937,244.164,14.2313,2023-01-01 06:05:00
1672553400000,244.174,244.174,244.088,244.095,6.9821,2023-01-01 06:10:00
1672553700000,244.17,244.345,244.17,244.345,12.9978,2023-01-01 06:15:00
1672554000000,244.306,244.313,244.207,244.295,5.4259,2023-01-01 06:20:00
1672554300000,244.313,244.372,244.254,244.372,0.859,2023-01-01 06:25:00
1672554600000,244.33,244.38,244.155,244.155,139.9273,2023-01-01 06:30:00
1672554900000,244.155,244.155,244.108,244.109,9.6494,2023-01-01 06:35:00
1672555200000,244.056,244.14,244.007,244.091,18.4752,2023-01-01 06:40:00
1672555500000,244.09,244.158,244.075,244.139,10.6209,2023-01-01 06:45:00
1672555800000,244.139,244.154,244.037,244.066,10.3359,2023-01-01 06:50:00
1672556100000,244.064,244.126,244.047,244.047,9.1615,2023-01-01 06:55:00
1672556400000,244.046,244.148,244.001,244.005,29.7026,2023-01-01 07:00:00
1672556700000,244.0,244.128,243.916,244.128,16.1527,2023-01-01 07:05:00
1672557000000,244.137,244.137,243.974,243.987,1.7912,2023-01-01 07:10:00
1672557300000,244.024,244.029,243.9,244.029,14.9705,2023-01-01 07:15:00
1672557600000,243.959,243.96,243.936,243.936,1.2985,2023-01-01 07:20:00
1672557900000,243.901,244.081,243.901,244.081,8.8519,2023-01-01 07:25:00
1672558200000,244.091,244.091,244.008,244.068,7.6079,2023-01-01 07:30:00
1672558500000,244.067,244.255,243.956,244.255,37.1668,2023-01-01 07:35:00
1672558800000,244.278,244.284,244.278,244.284,0.6878,2023-01-01 07:40:00
1672559100000,244.303,244.303,244.126,244.137,31.8885,2023-01-01 07:45:00
1672559400000,244.138,244.184,244.084,244.132,1.4268,2023-01-01 07:50:00
1672559700000,244.136,244.228,244.1,244.1,6.7274,2023-01-01 07:55:00
1672560000000,244.084,244.095,243.905,244.069,17.1688,2023-01-01 08:00:00
1672560300000,244.092,244.092,243.906,243.943,16.0639,2023-01-01 08:05:00
1672560600000,243.943,243.959,243.925,243.925,10.1096,2023-01-01 08:10:00
1672560900000,243.924,244.058,243.9,244.058,19.2869,2023-01-01 08:15:00
1672561200000,244.08,244.08,243.82,244.006,30.1376,2023-01-01 08:20:00
1672561500000,243.979,244.062,243.979,244.062,8.0708,2023-01-01 08:25:00
1672561800000,244.005,244.008,243.924,243.965,13.1255,2023-01-01 08:30:00
1672562100000,243.964,243.985,243.948,243.949,21.6722,2023-01-01 08:35:00
1672562400000,243.998,244.006,243.847,243.848,20.5691,2023-01-01 08:40:00
1672562700000,243.836,243.906,243.836,243.906,4.1994,2023-01-01 08:45:00
1672563000000,243.907,243.907,243.461,243.732,47.1055,2023-01-01 08:50:00
1672563300000,243.73,243.73,243.619,243.619,8.9252,2023-01-01 08:55:00
1672563600000,243.619,243.65,243.439,243.525,30.0029,2023-01-01 09:00:00
1672563900000,243.523,243.529,243.523,243.529,3.3824,2023-01-01 09:05:00
1672564200000,243.528,243.653,243.528,243.653,1.6373,2023-01-01 09:10:00
1672564500000,243.669,243.683,243.52,243.621,37.4174,2023-01-01 09:15:00
1672564800000,243.649,243.872,243.648,243.871,15.088,2023-01-01 09:20:00
1672565100000,243.874,243.899,243.793,243.793,3.5813,2023-01-01 09:25:00
1672565400000,243.789,244.0,243.753,244.0,24.7643,2023-01-01 09:30:00
1672565700000,244.025,244.139,244.016,244.038,8.1129,2023-01-01 09:35:00
1672566000000,244.039,244.16,243.999,244.16,24.8478,2023-01-01 09:40:00
1672566300000,244.174,244.174,244.125,244.127,2.2034,2023-01-01 09:45:00
1672566600000,244.169,244.388,244.169,244.349,25.4726,2023-01-01 09:50:00
1672566900000,244.358,244.406,244.358,244.406,5.5115,2023-01-01 09:55:00
1672567200000,244.403,244.406,244.239,244.262,7.4234,2023-01-01 10:00:00
1672567500000,244.158,244.223,244.147,244.147,3.2436,2023-01-01 10:05:00
1672567800000,244.139,244.267,244.139,244.267,13.6254,2023-01-01 10:10:00
1672568100000,244.286,244.321,244.16,244.16,16.5924,2023-01-01 10:15:00
1672568400000,244.198,244.251,244.197,244.24,8.0008,2023-01-01 10:20:00
1672568700000,244.239,244.289,244.239,244.27,28.6097,2023-01-01 10:25:00
1672569000000,244.271,244.271,244.14,244.16,14.8659,2023-01-01 10:30:00
1672569300000,244.14,244.209,244.12,244.12,6.8996,2023-01-01 10:35:00
1672569600000,244.121,244.121,244.033,244.105,2.0268,2023-01-01 10:40:00
1672569900000,244.104,244.105,244.06,244.06,2.975,2023-01-01 10:45:00
1672570200000,244.059,244.064,244.054,244.054,4.0615,2023-01-01 10:50:00
1672570500000,244.104,244.287,244.104,244.287,6.9001,2023-01-01 10:55:00
1672570800000,244.287,244.288,244.221,244.252,5.2879,2023-01-01 11:00:00
1672571100000,244.251,244.334,244.186,244.333,27.7225,2023-01-01 11:05:00
1672571400000,244.346,244.531,244.345,244.472,13.498,2023-01-01 11:10:00
1672571700000,244.458,244.553,244.332,244.333,29.4027,2023-01-01 11:15:00
1672572000000,244.333,244.41,244.323,244.334,2.2086,2023-01-01 11:20:00
1672572300000,244.249,244.339,244.222,244.222,7.6625,2023-01-01 11:25:00
1672572600000,244.222,244.333,244.222,244.332,12.6365,2023-01-01 11:30:00
1672572900000,244.358,244.402,244.331,244.379,16.3101,2023-01-01 11:35:00
1672573200000,244.379,244.385,244.357,244.357,7.1233,2023-01-01 11:40:00
1672573500000,244.367,244.368,244.327,244.365,6.506,2023-01-01 11:45:00
1672573800000,244.366,244.367,244.298,244.298,0.8035,2023-01-01 11:50:00
1672574100000,244.364,244.47,244.352,244.443,5.4105,2023-01-01 11:55:00
1672574400000,244.443,244.443,244.36,244.405,5.3799,2023-01-01 12:00:00
1672574700000,244.399,244.399,244.29,244.29,2.6488,2023-01-01 12:05:00
1672575000000,244.289,244.532,244.287,244.532,28.441,2023-01-01 12:10:00
