Time,Open,High,Low,Close,Volume,date
1672531200000,1196.13,1196.32,1195.65,1196.32,334.5592,2023-01-01 00:00:00
1672531500000,1196.31,1196.69,1194.9,1195.38,682.3876,2023-01-01 00:05:00
1672531800000,1195.38,1195.81,1194.55,1194.55,228.9387,2023-01-01 00:10:00
1672532100000,1194.55,1195.98,1194.31,1195.98,601.8903,2023-01-01 00:15:00
1672532400000,1195.98,1196.37,1195.97,1196.06,144.8048,2023-01-01 00:20:00
1672532700000,1196.06,1196.7,1196.06,1196.61,394.9124,2023-01-01 00:25:00
1672533000000,1196.62,1196.62,1193.72,1194.36,497.8406,2023-01-01 00:30:00
1672533300000,1194.37,1194.43,1192.72,1194.22,1299.5971,2023-01-01 00:35:00
1672533600000,1194.22,1194.22,1193.02,1193.64,409.5032,2023-01-01 00:40:00
1672533900000,1193.64,1195.06,1193.63,1194.64,521.0221,2023-01-01 00:45:00
1672534200000,1194.65,1195.06,1194.19,1194.82,486.7733,2023-01-01 00:50:00
1672534500000,1194.82,1195.04,1194.09,1194.09,287.1547,2023-01-01 00:55:00
1672534800000,1194.09,1194.84,1193.84,1194.1,389.7127,2023-01-01 01:00:00
1672535100000,1194.11,1195.75,1194.1,1195.69,500.1684,2023-01-01 01:05:00
1672535400000,1195.7,1195.75,1195.38,1195.38,285.9199,2023-01-01 01:10:00
1672535700000,1195.38,1195.49,1195.23,1195.38,113.75,2023-01-01 01:15:00
1672536000000,1195.37,1195.61,1195.01,1195.6,248.5874,2023-01-01 01:20:00
1672536300000,1195.6,1195.61,1195.29,1195.45,171.7727,2023-01-01 01:25:00
1672536600000,1195.45,1195.47,1195.13,1195.14,212.3066,2023-01-01 01:30:00
1672536900000,1195.14,1195.58,1194.72,1194.73,363.2838,2023-01-01 01:35:00
1672537200000,1194.73,1195.32,1194.72,1194.92,239.9588,2023-01-01 01:40:00
1672537500000,1194.92,1195.54,1194.92,1195.53,112.1893,2023-01-01 01:45:00
1672537800000,1195.54,1195.7,1195.26,1195.35,209.0755,2023-01-01 01:50:00
1672538100000,1195.35,1196.37,1195.35,1196.02,310.4828,2023-01-01 01:55:00
1672538400000,1196.01,1196.02,1194.11,1194.21,1109.8181,2023-01-01 02:00:00
1672538700000,1194.21,1194.37,1194.2,1194.37,119.582,2023-01-01 02:05:00
1672539000000,1194.36,1195.44,1194.12,1195.22,466.104,2023-01-01 02:10:00
1672539300000,1195.21,1195.38,1195.02,1195.33,121.8827,2023-01-01 02:15:00
1672539600000,1195.33,1195.64,1195.18,1195.38,375.6097,2023-01-01 02:20:00
1672539900000,1195.38,1196.13,1195.38,1196.12,277.6175,2023-01-01 02:25:00
1672540200000,1196.13,1196.74,1196.05,1196.74,307.8162,2023-01-01 02:30:00
1672540500000,1196.74,1196.74,1195.9,1195.9,251.8358,2023-01-01 02:35:00
1672540800000,1195.9,1195.91,1195.27,1195.27,186.282,2023-01-01 02:40:00
1672541100000,1195.28,1195.71,1195.27,1195.66,175.9713,2023-01-01 02:45:00
1672541400000,1195.66,1195.72,1195.44,1195.45,168.7489,2023-01-01 02:50:00
1672541700000,1195.45,1195.45,1195.33,1195.4,190.7794,2023-01-01 02:55:00
1672542000000,1195.41,1195.41,1192.28,1193.09,2370.9138,2023-01-01 03:00:00
1672542300000,1193.09,1193.57,1192.85,1193.57,504.5429,2023-01-01 03:05:00
1672542600000,1193.57,1193.57,1193.13,1193.2,547.3963,2023-01-01 03:10:00
1672542900000,1193.19,1193.2,1191.71,1191.95,970.4698,2023-01-01 03:15:00
1672543200000,1191.95,1193.4,1191.94,1193.39,844.1259,2023-01-01 03:20:00
1672543500000,1193.4,1193.4,1193.23,1193.38,447.5458,2023-01-01 03:25:00
1672543800000,1193.39,1193.51,1193.17,1193.41,390.0136,2023-01-01 03:30:00
1672544100000,1193.4,1193.87,1193.31,1193.86,363.2534,2023-01-01 03:35:00
1672544400000,1193.87,1194.0,1193.82,1194.0,170.7127,2023-01-01 03:40:00
1672544700000,1194.0,1194.04,1193.81,1194.04,365.0858,2023-01-01 03:45:00
1672545000000,1194.03,1194.39,1193.75,1194.39,372.1328,2023-01-01 03:50:00
1672545300000,1194.38,1194.39,1193.95,1194.04,147.2279,2023-01-01 03:55:00
1672545600000,1194.05,1194.05,1193.45,1193.79,293.0878,2023-01-01 04:00:00
1672545900000,1193.79,1193.8,1192.79,1192.8,683.0045,2023-01-01 04:05:00
1672546200000,1192.79,1193.25,1192.63,1192.64,604.1469,2023-01-01 04:10:00
1672546500000,1192.63,1192.85,1192.24,1192.51,572.2462,2023-01-01 04:15:00
1672546800000,1192.51,1192.62,1190.57,1192.18,2255.5979,2023-01-01 04:20:00
1672547100000,1192.18,1192.8,1192.17,1192.18,224.3753,2023-01-01 04:25:00
1672547400000,1192.18,1192.25,1192.16,1192.25,96.6997,2023-01-01 04:30:00
1672547700000,1192.24,1192.93,1192.24,1192.87,429.6446,2023-01-01 04:35:00
1672548000000,1192.87,1192.87,1192.03,1192.04,216.2647,2023-01-01 04:40:00
1672548300000,1192.03,1192.27,1192.03,1192.26,166.4149,2023-01-01 04:45:00
1672548600000,1192.27,1192.87,1192.19,1192.44,470.1077,2023-01-01 04:50:00
1672548900000,1192.45,1192.93,1191.98,1192.92,397.6589,2023-01-01 04:55:00
1672549200000,1192.92,1193.35,1192.71,1193.35,205.5746,2023-01-01 05:00:00
1672549500000,1193.35,1193.53,1193.14,1193.15,178.1999,2023-01-01 05:05:00
1672549800000,1193.15,1193.34,1192.98,1193.29,230.8151,2023-01-01 05:10:00
1672550100000,1193.29,1193.72,1193.24,1193.25,258.0977,2023-01-01 05:15:00
1672550400000,1193.24,1193.57,1193.13,1193.57,126.963,2023-01-01 05:20:00
1672550700000,1193.56,1194.26,1193.56,1194.18,254.8268,2023-01-01 05:25:00
1672551000000,1194.19,1194.26,1193.82,1193.96,146.0431,2023-01-01 05:30:00
1672551300000,1193.97,1193.98,1193.52,1193.61,178.3183,2023-01-01 05:35:00
1672551600000,1193.62,1194.1,1193.61,1194.1,217.16,2023-01-01 05:40:00
1672551900000,1194.09,1194.35,1194.09,1194.34,68.4592,2023-01-01 05:45:00
1672552200000,1194.35,1194.39,1194.25,1194.27,149.7918,2023-01-01 05:50:00
1672552500000,1194.28,1194.67,1194.27,1194.54,302.0953,2023-01-01 05:55:00
1672552800000,1194.55,1195.1,1194.54,1195.09,439.0142,2023-01-01 06:00:00
1672553100000,1195.1,1195.23,1194.81,1195.0,343.8118,2023-01-01 06:05:00
1672553400000,1195.01,1195.01,1193.97,1194.09,593.1846,2023-01-01 06:10:00
1672553700000,1194.09,1194.92,1194.09,1194.89,469.9407,2023-01-01 06:15:00
1672554000000,1194.88,1194.89,1194.21,1194.32,391.0675,2023-01-01 06:20:00
1672554300000,1194.32,1194.76,1194.32,1194.6,207.8654,2023-01-01 06:25:00
1672554600000,1194.59,1194.6,1193.81,1193.94,231.7334,2023-01-01 06:30:00
1672554900000,1193.95,1194.11,1193.9,1193.95,170.0569,2023-01-01 06:35:00
1672555200000,1193.96,1194.39,1193.95,1194.37,240.9917,2023-01-01 06:40:00
1672555500000,1194.36,1194.45,1194.14,1194.45,236.1867,2023-01-01 06:45:00
1672555800000,1194.45,1194.45,1194.11,1194.37,351.6048,2023-01-01 06:50:00
1672556100000,1194.37,1194.82,1194.28,1194.81,426.638,2023-01-01 06:55:00
1672556400000,1194.81,1195.18,1194.4,1194.41,589.9404,2023-01-01 07:00:00
1672556700000,1194.41,1194.92,1193.91,1194.72,714.4373,2023-01-01 07:05:00
1672557000000,1194.72,1194.72,1193.63,1194.37,370.8057,2023-01-01 07:10:00
1672557300000,1194.36,1194.37,1193.04,1193.66,478.2069,2023-01-01 07:15:00
1672557600000,1193.67,1193.67,1193.22,1193.32,411.2576,2023-01-01 07:20:00
1672557900000,1193.31,1194.61,1193.16,1194.6,632.631,2023-01-01 07:25:00
1672558200000,1194.61,1194.61,1194.23,1194.57,123.9535,2023-01-01 07:30:00
1672558500000,1194.57,1194.78,1193.8,1194.78,385.272,2023-01-01 07:35:00
1672558800000,1194.77,1195.17,1194.77,1195.16,401.5067,2023-01-01 07:40:00
1672559100000,1195.16,1195.21,1195.11,1195.12,414.5379,2023-01-01 07:45:00
1672559400000,1195.12,1195.75,1194.61,1194.91,920.0206,2023-01-01 07:50:00
1672559700000,1194.92,1195.59,1194.91,1195.06,384.2002,2023-01-01 07:55:00
1672560000000,1195.07,1195.9,1195.05,1195.9,650.6626,2023-01-01 08:00:00
1672560300000,1195.9,1195.9,1194.84,1194.84,437.0426,2023-01-01 08:05:00
1672560600000,1194.85,1194.85,1194.5,1194.51,178.733,2023-01-01 08:10:00
1672560900000,1194.5,1195.42,1194.38,1195.32,315.562,2023-01-01 08:15:00
1672561200000,1195.31,1195.35,1194.93,1195.35,174.6242,2023-01-01 08:20:00
1672561500000,1195.34,1195.55,1195.27,1195.28,162.364,2023-01-01 08:25:00
1672561800000,1195.27,1195.55,1195.23,1195.4,273.0842,2023-01-01 08:30:00
1672562100000,1195.39,1195.4,1195.11,1195.11,103.7672,2023-01-01 08:35:00
1672562400000,1195.11,1195.39,1194.24,1194.29,242.3506,2023-01-01 08:40:00
1672562700000,1194.3,1194.68,1194.29,1194.68,131.1465,2023-01-01 08:45:00
1672563000000,1194.67,1194.68,1194.17,1194.47,337.6797,2023-01-01 08:50:00
1672563300000,1194.48,1194.48,1194.23,1194.28,117.5856,2023-01-01 08:55:00
1672563600000,1194.27,1194.28,1194.01,1194.01,248.7749,2023-01-01 09:00:00
1672563900000,1194.02,1194.14,1193.98,1194.08,243.4122,2023-01-01 09:05:00
1672564200000,1194.08,1194.58,1194.08,1194.57,265.5183,2023-01-01 09:10:00
1672564500000,1194.56,1194.7,1194.56,1194.69,114.6005,2023-01-01 09:15:00
1672564800000,1194.7,1195.46,1194.69,1195.45,384.6689,2023-01-01 09:20:00
1672565100000,1195.46,1195.62,1194.76,1194.76,317.8927,2023-01-01 09:25:00
1672565400000,1194.76,1195.16,1194.76,1195.15,122.6607,2023-01-01 09:30:00
1672565700000,1195.15,1195.24,1195.15,1195.16,131.7155,2023-01-01 09:35:00
1672566000000,1195.15,1195.99,1195.15,1195.98,196.6146,2023-01-01 09:40:00
1672566300000,1195.98,1196.1,1195.6,1195.8,275.3943,2023-01-01 09:45:00
1672566600000,1195.8,1196.21,1195.79,1196.07,196.3642,2023-01-01 09:50:00
1672566900000,1196.08,1196.55,1196.01,1196.48,266.331,2023-01-01 09:55:00
1672567200000,1196.47,1196.48,1196.0,1196.01,123.914,2023-01-01 10:00:00
1672567500000,1196.01,1196.01,1195.7,1195.83,220.5222,2023-01-01 10:05:00
1672567800000,1195.83,1196.3,1195.83,1196.29,144.6139,2023-01-01 10:10:00
1672568100000,1196.29,1196.34,1196.13,1196.13,180.4701,2023-01-01 10:15:00
1672568400000,1196.14,1196.22,1195.98,1196.22,140.7927,2023-01-01 10:20:00
1672568700000,1196.22,1196.22,1196.21,1196.21,58.8415,2023-01-01 10:25:00
1672569000000,1196.22,1196.22,1195.73,1195.74,162.2266,2023-01-01 10:30:00
1672569300000,1195.74,1195.82,1195.6,1195.68,243.1785,2023-01-01 10:35:00
1672569600000,1195.69,1195.69,1195.59,1195.66,151.109,2023-01-01 10:40:00
1672569900000,1195.66,1195.7,1195.66,1195.69,39.8235,2023-01-01 10:45:00
1672570200000,1195.7,1196.08,1195.69,1196.07,154.2411,2023-01-01 10:50:00
1672570500000,1196.08,1197.19,1196.07,1197.14,386.8478,2023-01-01 10:55:00
1672570800000,1197.14,1197.23,1196.75,1196.75,360.5453,2023-01-01 11:00:00
1672571100000,1196.75,1197.14,1196.59,1197.14,370.5801,2023-01-01 11:05:00
1672571400000,1197.13,1197.41,1196.92,1196.92,327.7631,2023-01-01 11:10:00
1672571700000,1196.93,1196.93,1196.08,1196.28,274.9851,2023-01-01 11:15:00
1672572000000,1196.27,1196.49,1196.15,1196.49,154.3619,2023-01-01 11:20:00
1672572300000,1196.49,1196.49,1196.09,1196.16,189.0631,2023-01-01 11:25:00
1672572600000,1196.16,1196.27,1195.81,1196.17,318.7793,2023-01-01 11:30:00
1672572900000,1196.17,1196.35,1196.16,1196.35,120.2481,2023-01-01 11:35:00
1672573200000,1196.34,1196.44,1196.04,1196.05,334.0916,2023-01-01 11:40:00
1672573500000,1196.04,1196.05,1195.81,1195.82,132.087,2023-01-01 11:45:00
1672573800000,1195.81,1195.82,1195.72,1195.79,95.9177,2023-01-01 11:50:00
1672574100000,1195.79,1196.35,1195.79,1196.34,175.6319,2023-01-01 11:55:00
1672574400000,1196.35,1196.45,1196.21,1196.45,215.6824,2023-01-01 12:00:00
1672574700000,1196.44,1196.45,1195.86,1195.9,241.2388,2023-01-01 12:05:00
1672575000000,1195.9,1197.55,1195.83,1197.21,775.4008,2023-01-01 12:10:00
1672575300000,1197.21,1197.64,1197.21,1197.25,401.4926,2023-01-01 12:15:00
1672575600000,1197.26,1197.38,1197.25,1197.25,186.58,2023-01-01 12:20:00
1672575900000,1197.26,1198.5,1196.73,1197.88,1010.0352,2023-01-01 12:25:00
1672576200000,1197.88,1198.36,1197.0,1197.14,604.0564,2023-01-01 12:30:00
1672576500000,1197.14,1197.19,1197.03,1197.03,168.2359,2023-01-01 12:35:00
1672576800000,1197.03,1197.04,1196.95,1197.02,136.4954,2023-01-01 12:40:00
1672577100000,1197.03,1197.58,1197.02,1197.11,337.5991,2023-01-01 12:45:00
1672577400000,1197.12,1197.17,1197.03,1197.16,144.4989,2023-01-01 12:50:00
1672577700000,1197.15,1197.17,1197.03,1197.17,197.421,2023-01-01 12:55:00
1672578000000,1197.16,1197.29,1196.86,1197.1,467.7696,2023-01-01 13:00:00
1672578300000,1197.09,1197.28,1196.84,1196.85,227.871,2023-01-01 13:05:00
1672578600000,1196.84,1196.85,1196.21,1196.37,243.9094,2023-01-01 13:10:00
1672578900000,1196.38,1196.38,1196.01,1196.14,313.9213,2023-01-01 13:15:00
1672579200000,1196.15,1196.15,1196.03,1196.04,162.6436,2023-01-01 13:20:00
1672579500000,1196.03,1196.07,1195.67,1196.06,359.8389,2023-01-01 13:25:00
