Time,Open,High,Low,Close,Volume,date
1609459200000,736.14,738.8,729.61,734.06,583.78671886,2021-01-01 00:00:00
1609462800000,734.03,748.88,733.44,748.7,1262.47381871,2021-01-01 01:00:00
1609466400000,748.31,748.9,742.27,744.2,883.89415688,2021-01-01 02:00:00
1609470000000,744.03,747.18,743.32,744.86,403.48292993,2021-01-01 03:00:00
1609473600000,745.36,747.05,739.73,742.5,644.38302015,2021-01-01 04:00:00
1609477200000,743.08,743.08,739.67,740.74,615.41220518,2021-01-01 05:00:00
1609480800000,740.8,743.07,737.3,739.64,646.65175956,2021-01-01 06:00:00
1609484400000,739.8,740.59,734.31,737.21,443.12975547,2021-01-01 07:00:00
1609488000000,737.4,738.35,725.74,730.08,892.27423486,2021-01-01 08:00:00
1609491600000,729.99,734.62,729.08,733.73,362.56297416,2021-01-01 09:00:00
1609495200000,733.72,738.68,733.4,736.85,379.91001649,2021-01-01 10:00:00
1609498800000,736.73,741.75,736.2,738.79,925.0364608,2021-01-01 11:00:00
1609502400000,738.79,743.68,732.37,733.39,1290.14932138,2021-01-01 12:00:00
1609506000000,733.11,741.94,732.72,740.08,488.24637248,2021-01-01 13:00:00
1609509600000,740.16,742.64,736.6,738.35,468.90167175,2021-01-01 14:00:00
1609513200000,738.03,739.79,733.65,735.51,702.42573553,2021-01-01 15:00:00
1609516800000,735.58,737.6,733.03,735.8,353.94075856,2021-01-01 16:00:00
1609520400000,735.8,736.32,727.02,728.15,1265.08962893,2021-01-01 17:00:00
1609524000000,728.0,731.66,714.41,724.9,2248.96974678,2021-01-01 18:00:00
1609527600000,724.8,728.11,721.3,725.58,725.61766665,2021-01-01 19:00:00
1609531200000,725.42,730.68,722.69,729.7,436.98500746,2021-01-01 20:00:00
1609534800000,729.48,730.54,726.82,727.99,831.77245508,2021-01-01 21:00:00
1609538400000,727.86,731.76,725.98,728.89,552.78203343,2021-01-01 22:00:00
1609542000000,729.06,730.46,727.81,729.02,351.33431185,2021-01-01 23:00:00
1609545600000,729.03,730.07,716.43,720.06,2222.53521605,2021-01-02 00:00:00
1609549200000,720.09,731.7,715.0,729.1,967.8246566,2021-01-02 01:00:00
1609552800000,729.39,734.35,729.38,729.6,712.36589017,2021-01-02 02:00:00
1609556400000,729.73,731.92,728.67,730.36,391.51982639,2021-01-02 03:00:00
1609560000000,730.29,730.59,726.33,729.64,412.11154845,2021-01-02 04:00:00
1609563600000,729.49,733.32,729.49,731.8,641.41167252,2021-01-02 05:00:00
1609567200000,732.0,740.17,730.72,737.01,950.75102642,2021-01-02 06:00:00
1609570800000,737.06,738.46,733.39,735.37,783.60459137,2021-01-02 07:00:00
1609574400000,735.1,738.45,728.49,733.81,876.99003679,2021-01-02 08:00:00
1609578000000,733.83,734.54,723.22,725.74,996.19968852,2021-01-02 09:00:00
1609581600000,725.25,733.65,723.32,728.35,786.71637875,2021-01-02 10:00:00
1609585200000,728.56,731.12,727.56,729.87,202.41384053,2021-01-02 11:00:00
1609588800000,729.8,756.36,728.67,752.26,3278.36441995,2021-01-02 12:00:00
1609592400000,752.33,772.82,749.33,770.37,3634.69761516,2021-01-02 13:00:00
1609596000000,770.39,770.83,753.51,760.92,2210.77911938,2021-01-02 14:00:00
1609599600000,760.91,768.71,760.82,768.6,2207.6133457,2021-01-02 15:00:00
1609603200000,768.71,782.57,764.58,781.78,3796.46003341,2021-01-02 16:00:00
1609606800000,781.78,784.88,774.26,778.76,2101.30277906,2021-01-02 17:00:00
1609610400000,778.78,784.19,771.31,779.56,1450.89986511,2021-01-02 18:00:00
1609614000000,780.04,787.04,777.29,784.38,1887.6175713,2021-01-02 19:00:00
1609617600000,784.39,785.09,754.0,757.68,4377.47830309,2021-01-02 20:00:00
1609621200000,757.34,770.86,750.0,768.89,2645.97038275,2021-01-02 21:00:00
1609624800000,768.99,774.33,765.56,772.25,810.71524292,2021-01-02 22:00:00
1609628400000,772.24,777.55,763.55,774.64,1328.09849878,2021-01-02 23:00:00
1609632000000,774.62,778.86,770.71,775.87,804.87189536,2021-01-03 00:00:00
1609635600000,775.84,778.86,772.57,776.9,946.76410029,2021-01-03 01:00:00
1609639200000,776.9,781.47,775.52,778.89,889.32479438,2021-01-03 02:00:00
1609642800000,778.88,779.0,771.51,772.68,492.51587177,2021-01-03 03:00:00
1609646400000,773.18,778.31,769.01,777.76,520.88791481,2021-01-03 04:00:00
1609650000000,777.28,789.99,776.25,786.37,2338.22018495,2021-01-03 05:00:00
1609653600000,786.38,802.02,783.76,799.94,3204.90649098,2021-01-03 06:00:00
1609657200000,799.89,805.41,795.0,799.69,2002.37937778,2021-01-03 07:00:00
1609660800000,799.61,819.43,791.37,817.26,2546.8989045,2021-01-03 08:00:00
1609664400000,817.24,825.13,813.1,818.71,3241.50476964,2021-01-03 09:00:00
1609668000000,818.49,829.08,816.79,825.6,2196.60854549,2021-01-03 10:00:00
1609671600000,825.6,831.96,824.06,829.97,1446.60522607,2021-01-03 11:00:00
1609675200000,829.71,835.63,826.62,831.45,1038.19631265,2021-01-03 12:00:00
1609678800000,831.52,888.51,831.52,873.96,4843.03661139,2021-01-03 13:00:00
1609682400000,873.95,921.39,854.81,912.17,8206.62101849,2021-01-03 14:00:00
1609686000000,912.17,919.22,869.29,917.7,6213.49845318,2021-01-03 15:00:00
1609689600000,917.79,979.47,916.57,936.07,14332.16705126,2021-01-03 16:00:00
1609693200000,936.43,957.54,911.66,935.99,9698.12330572,2021-01-03 17:00:00
1609696800000,936.0,942.0,883.73,917.91,8225.68547466,2021-01-03 18:00:00
1609700400000,917.45,923.69,899.21,921.38,4186.47013844,2021-01-03 19:00:00
1609704000000,921.41,964.1,920.52,946.67,7128.56571898,2021-01-03 20:00:00
1609707600000,946.42,957.68,936.91,949.83,2816.63775662,2021-01-03 21:00:00
1609711200000,949.83,997.38,945.01,991.58,6358.19519003,2021-01-03 22:00:00
1609714800000,991.72,1010.83,954.52,978.2,6794.16241306,2021-01-03 23:00:00
1609718400000,978.39,994.33,954.96,976.0,4895.2019132,2021-01-04 00:00:00
1609722000000,975.87,978.88,956.44,967.11,2705.1200766,2021-01-04 01:00:00
1609725600000,967.0,982.0,962.75,979.31,2636.93213886,2021-01-04 02:00:00
1609729200000,979.49,1025.81,978.39,1021.14,6430.4554516,2021-01-04 03:00:00
1609732800000,1021.71,1035.71,950.0,1027.79,8584.02221307,2021-01-04 04:00:00
1609736400000,1027.56,1095.82,1016.89,1084.61,7127.06708325,2021-01-04 05:00:00
1609740000000,1084.25,1161.3,1069.69,1105.22,13221.11886797,2021-01-04 06:00:00
1609743600000,1105.21,1118.58,1011.87,1045.07,12900.34065136,2021-01-04 07:00:00
1609747200000,1044.78,1079.77,982.0,1022.44,8660.66485216,2021-01-04 08:00:00
1609750800000,1023.03,1029.31,911.0,969.51,10485.13660475,2021-01-04 09:00:00
1609754400000,970.17,984.23,880.0,965.58,10702.46013367,2021-01-04 10:00:00
1609758000000,965.1,979.27,934.06,976.44,5915.57937858,2021-01-04 11:00:00
1609761600000,976.61,1030.87,956.18,1018.94,6970.71699542,2021-01-04 12:00:00
1609765200000,1019.22,1019.47,975.99,1011.3,5384.02190644,2021-01-04 13:00:00
1609768800000,1012.08,1044.73,1002.0,1043.03,7805.33700141,2021-01-04 14:00:00
1609772400000,1043.03,1056.59,1026.88,1040.27,6551.2201009,2021-01-04 15:00:00
1609776000000,1039.69,1048.01,982.59,1009.43,9309.41424392,2021-01-04 16:00:00
1609779600000,1010.12,1026.27,986.0,999.35,5456.86721142,2021-01-04 17:00:00
1609783200000,999.55,1025.47,999.18,1014.21,3602.92867249,2021-01-04 18:00:00
1609786800000,1015.07,1047.5,1011.75,1042.5,4529.14684694,2021-01-04 19:00:00
1609790400000,1042.5,1049.29,1017.98,1020.21,4960.28459415,2021-01-04 20:00:00
1609794000000,1020.5,1036.33,993.14,1006.14,5503.12778136,2021-01-04 21:00:00
1609797600000,1006.4,1023.99,1003.0,1012.56,3279.98473525,2021-01-04 22:00:00
1609801200000,1012.7,1046.53,1001.71,1041.9,5782.2727763,2021-01-04 23:00:00
1609804800000,1041.52,1134.33,1041.52,1095.03,13486.59121718,2021-01-05 00:00:00
1609808400000,1095.66,1116.33,1065.3,1114.61,6638.6034197,2021-01-05 01:00:00
1609812000000,1114.62,1116.0,1068.62,1078.25,3778.37773883,2021-01-05 02:00:00
