date,supply_ETH,act_addr_ETH,market_dom_ETH
2021-08-04,117183511.33420856,503365,19.123311253920146
2021-08-05,117194852.45701073,461315,19.449894793509124
2021-08-06,117205342.28205173,493013,19.459904235937852
2021-08-07,117215873.66483769,480200,19.806273806973966
2021-08-08,117226361.36491138,492638,19.78767598495329
2021-08-09,117236831.14919461,476116,19.67483163634466
2021-08-10,117246234.78801496,481417,19.689705085693816
2021-08-11,117255491.9803225,486536,19.534095385045
2021-08-12,117265278.56372814,479883,19.263141767238515
2021-08-13,117275195.3175252,479258,19.31614714635058
2021-08-14,117285686.03154385,462463,19.203750089947643
2021-08-15,117294910.32915963,453133,18.950551730555777
2021-08-16,117304850.69834514,505816,18.71793316506048
2021-08-17,117315293.66514756,494600,18.544325461711292
2021-08-18,117325955.42106852,478168,18.44057559769422
2021-08-19,117337309.99732956,525891,18.24925551751166
2021-08-20,117348493.54499355,522866,18.27758834777309
2021-08-21,117360037.09670946,489383,18.190049846870057
2021-08-22,117371693.74756405,468211,17.975587387124573
2021-08-23,117380899.84746726,492624,18.06488147850172
2021-08-24,117388474.66013972,473150,18.06992981139547
2021-08-25,117394780.18804756,452175,17.935779033264843
2021-08-26,117401226.13714436,448796,18.05225168023116
2021-08-27,117404756.13013503,437792,20.60295342228669
2021-08-28,117411661.03113492,458169,20.46628983210392
2021-08-29,117418033.88686961,443638,20.358154220452548
2021-08-30,117422664.71281253,463898,20.66555395056072
2021-08-31,117426445.22669661,489456,21.27582238834111
2021-09-01,117429685.05347207,505920,22.268789948276766
2021-09-02,117434400.62910567,518096,22.398160641244043
2021-09-03,117435290.82644565,466471,21.621854101278974
2021-09-04,117439266.54366218,474530,21.516997163983515
2021-09-05,117444181.900826,454261,21.352398273509632
2021-09-06,117448414.26704545,480828,21.01989374843713
2021-09-07,117449009.60341556,512946,20.609468323692234
2021-09-08,117449535.76536046,476723,19.333355418407596
2021-09-09,117451008.05652526,481475,19.194942417061917
2021-09-10,117457062.86909829,517875,18.655110895548354
2021-09-11,117465876.20671856,583239,18.462465688792054
2021-09-12,117474948.71484947,524894,18.62760893395963
2021-09-13,117482666.86311118,583723,18.45320503533513
2021-09-14,117490780.82159105,531109,18.608952305003427
2021-09-15,117499310.14876132,524415,18.679637018498756
2021-09-16,117506390.57439055,499502,19.097129575538723
2021-09-17,117514251.06854157,481025,18.8988836469267
2021-09-18,117524042.96558349,486651,18.72627635381418
2021-09-19,117533874.97411719,461300,18.810626901514027
2021-09-20,117540710.13261436,449609,18.698932626179165
2021-09-21,117546375.13682832,477595,18.521026186674654
2021-09-22,117554905.9112837,486915,18.434199543235497
2021-09-23,117562943.32278183,488219,18.61385649541396
2021-09-24,117571088.19301026,457585,18.132458813710574
2021-09-25,117581755.57267036,466051,18.105487502508126
2021-09-26,117590451.522271,426785,18.352264127113482
2021-09-27,117597546.52062385,446701,18.710158338453283
2021-09-28,117604150.83605444,443547,18.437706150338528
2021-09-29,117611434.15803382,455419,18.327556159302283
2021-09-30,117615768.0741969,451800,18.57318831629444
2021-10-01,117622633.73819923,525088,18.496409470927325
2021-10-02,117631723.6329573,468376,18.809453776998872
2021-10-03,117640827.40189947,467616,18.932090389739695
2021-10-04,117646253.00815623,439296,18.72426380086931
2021-10-05,117649500.4419873,508377,18.60618155736095
2021-10-06,117650956.2362862,611285,18.45673792980539
2021-10-07,117652814.7791646,581057,18.445862930953204
2021-10-08,117656047.63448617,549716,18.4491956058748
2021-10-09,117663455.78044236,531794,18.2982984890193
2021-10-10,117670806.40860072,484836,18.04134092403808
2021-10-11,117675730.97693135,496502,17.95970820192841
2021-10-12,117682341.96227728,498984,17.909401340240272
2021-10-13,117688151.60510498,484265,17.793636308974346
2021-10-14,117690898.49762109,509166,18.106148167630465
2021-10-15,117693773.08057041,516210,18.185131843174155
2021-10-16,117700776.41413033,533741,18.152531764945998
2021-10-17,117708721.43387307,498740,18.041700857061564
2021-10-18,117714771.78721064,518288,17.826573527557077
2021-10-19,117722852.00610854,542133,17.75545565474465
2021-10-20,117730310.7778716,570406,17.992759116938107
2021-10-21,117736512.74385482,570388,18.774068602503633
2021-10-22,117743422.09613986,553167,18.740242374548952
2021-10-23,117752206.83260404,567551,18.855420850912765
2021-10-24,117760293.16420102,554773,19.82883456315686
2021-10-25,117766204.82920559,554872,19.231172586016733
2021-10-26,117769670.8771874,573065,18.944881958600234
2021-10-27,117769478.33103178,578546,19.21527462974405
2021-10-28,117767347.53329915,659884,19.12638999263002
2021-10-29,117766398.005903,673501,19.552597545875503
2021-10-30,117766733.5042637,615332,19.157191295833965
2021-10-31,117768098.63384075,579422,19.10189217166309
2021-11-01,117768588.65009609,608076,19.036043622452976
2021-11-02,117767640.24902967,636602,19.222753166931422
2021-11-03,117767895.3986137,654680,19.51534312771815
2021-11-04,117769615.38673528,621934,19.45015983554116
2021-11-05,117772332.66228026,602128,19.68712182621199
2021-11-06,117776720.14897932,575939,19.17671605186393
2021-11-07,117782613.6916037,591556,19.304587547999276
2021-11-08,117786163.04068016,615193,19.226889271450283
2021-11-09,117785122.79501124,583870,19.140575371591083
2021-11-10,117784802.39284219,632396,19.07632127317896
2021-11-11,117785174.31696253,612896,19.337029464463598
2021-11-12,117786443.64823876,610131,19.45615030673624
2021-11-13,117789180.52300352,606072,19.38105716324826
2021-11-14,117793604.04374157,600374,19.102671177594186
2021-11-15,117794540.63537414,559216,19.20048583639344
2021-11-16,117796248.71013993,565415,19.01285449845403
2021-11-17,117798878.15460062,645630,18.839230085000157
2021-11-18,117800640.6871218,549327,18.913069819838135
2021-11-19,117804213.32279459,566342,19.186191036490776
2021-11-20,117809361.99683785,505816,19.373451086153185
2021-11-21,117814423.54365984,566079,19.285436427281283
2021-11-22,117815723.3374255,501837,19.042735857843564
2021-11-23,117818286.91261415,535512,19.249081647870042
2021-11-24,117821316.04261903,559438,19.44502056378153
2021-11-25,117824964.93180214,552499,19.550992466495092
2021-11-26,117829573.36713073,556626,19.417193626842934
2021-11-27,117834307.04460756,508412,19.37488587200472
2021-11-28,117838695.39149196,485457,19.507094382236914
2021-11-29,117842342.14206113,552531,19.674058002366447
2021-11-30,117844221.7546078,575876,20.3519985375264
2021-12-01,117846341.65346545,531762,20.63870883054513
2021-12-02,117850684.31344585,560741,20.322414843562814
2021-12-03,117855562.41154535,520933,20.11823036476042
