username,content,date,tweet_link,likes,retweets,quotes,comments,complete
@TheMoonCarl,My biggest holdings leading into 2023:$BTC$ETH$BNB$KASTA$MEE$MATICWhat else should I buy to HODL this year? 👇🏻👇🏻👇🏻,2023-01-01 21:10:00,https://twitter.com/TheMoonCarl/status/1609658164982550528#m,689.0,62.0,16.0,868.0,True
@davidgokhshtein,"Why do people so angry about$ETHpotentially flipping$BTC? 

It’s ultimately people who people value on assets.",2023-01-01 19:15:00,https://twitter.com/davidgokhshtein/status/1609628931585638401#m,95.0,11.0,0.0,39.0,True
@MasonVersluis,"“Mason, Your Top 10 picks are the same every time!”

Uhhhh yeah, ever heard of strong conviction + a consistent message around the GREATEST utility coins on the market?$XRP$HBAR$ETH$QNT",2023-01-01 17:25:00,https://twitter.com/MasonVersluis/status/1609601325339402241#m,181.0,8.0,0.0,14.0,True
@HyperTraderApp,"Latest in global#cryptomarkets

Market cap: $795.35B
24h volume: $18.49B$BTCdominance is 40.07%$ETHdominance is 18.41%#Altcoindominance is 41.52%",2023-01-01 12:00:00,https://twitter.com/HyperTraderApp/status/1609519931028013058#m,0.0,0.0,0.0,1.0,True
@Tradermayne,"What is the$BTCand$ETHprice January 1, 2024",2023-01-01 05:15:00,https://twitter.com/Tradermayne/status/1609416909413560320#m,284.0,6.0,3.0,176.0,True
@wizardofsoho,Funny how my strong macro views are my lowest engagement tweets ... but would result in the most wealth for people following the tweets. When I was a giga bear from March to June ... during the biggest drawdown of the year when$ETHwent to $800 ... no engagement lol,2023-01-02 21:00:00,https://twitter.com/wizardofsoho/status/1610017250752499713#m,72.0,0.0,0.0,10.0,True
@TheCryptoSquire,🗣️Will#PiNetworkbe the next$ETH?? 🤔,2023-01-02 15:55:00,https://twitter.com/TheCryptoSquire/status/1609941145106219008#m,2144.0,302.0,31.0,516.0,True
@cryptojack,Will#PiNetworkbe the next$ETH?? 🤔,2023-01-02 15:00:00,https://twitter.com/cryptojack/status/1609927594975035393#m,2019.0,291.0,45.0,578.0,True
@Jamyies,"This is my portfolio atm, largest holdings have *$BNB$Btc***$Eth$Cake$Uni$MCRT***$Goog***$meta$Tsla$TsmStill mainly cash DCAing in. 
(Not financial advice, this is what I’m buying)",2023-01-02 14:30:00,https://twitter.com/Jamyies/status/1609919327620431873#m,32.0,8.0,1.0,50.0,True
@TKralow,"Choose your#cryptoteam:

Team 🅰️             Team 🅱️$BTC$ETH$BNB$MATIC",2023-01-02 13:25:00,https://twitter.com/TKralow/status/1609902667568148482#m,44.0,9.0,0.0,43.0,True
