Mois/Année,Taux d’inflation (%)
Juil 2004,3.0
Août 2004,2.7
Sep 2004,2.5
Oct 2004,3.2
Nov 2004,3.5
Déc 2004,3.3
Jan 2005,3.0
Fév 2005,3.0
Mar 2005,3.1
Avr 2005,3.5
Mai 2005,2.8
Juin 2005,2.5
Juil 2005,3.2
Août 2005,3.6
Sep 2005,4.7
Oct 2005,4.3
Nov 2005,3.5
Déc 2005,3.4
Jan 2006,4.0
Fév 2006,3.6
Mar 2006,3.4
Avr 2006,3.5
Mai 2006,4.2
Juin 2006,4.3
Juil 2006,4.1
Août 2006,3.8
Sep 2006,2.1
Oct 2006,1.3
Nov 2006,2.0
Déc 2006,2.5
Jan 2007,2.1
Fév 2007,2.4
Mar 2007,2.8
Avr 2007,2.6
Mai 2007,2.7
Juin 2007,2.7
Juil 2007,2.4
Août 2007,2.0
Sep 2007,2.8
Oct 2007,3.5
Nov 2007,4.3
Déc 2007,4.1
Jan 2008,4.3
Fév 2008,4.0
Mar 2008,4.0
Avr 2008,3.9
Mai 2008,4.2
Juin 2008,5.0
Juil 2008,5.6
Août 2008,5.4
Sep 2008,4.9
Oct 2008,3.7
Nov 2008,1.1
Déc 2008,0.1
Jan 2009,0.0
Fév 2009,0.2
Mar 2009,-0.4
Avr 2009,-0.7
Mai 2009,-1.3
Juin 2009,-1.4
Juil 2009,-2.1
Août 2009,-1.5
Sep 2009,-1.3
Oct 2009,-0.2
Nov 2009,1.8
Déc 2009,2.7
Jan 2010,2.6
Fév 2010,2.1
Mar 2010,2.3
Avr 2010,2.2
Mai 2010,2.0
Juin 2010,1.1
Juil 2010,1.2
Août 2010,1.1
Sep 2010,1.1
Oct 2010,1.2
Nov 2010,1.1
Déc 2010,1.5
Jan 2011,1.6
Fév 2011,2.1
Mar 2011,2.7
Avr 2011,3.2
Mai 2011,3.6
Juin 2011,3.6
Juil 2011,3.6
Août 2011,3.8
Sep 2011,3.9
Oct 2011,3.5
Nov 2011,3.4
Déc 2011,3.0
Jan 2012,2.9
Fév 2012,2.9
Mar 2012,2.7
Avr 2012,2.3
Mai 2012,1.7
Juin 2012,1.7
Juil 2012,1.4
Août 2012,1.7
Sep 2012,2.0
Oct 2012,2.2
Nov 2012,1.8
Déc 2012,1.7
Jan 2013,1.6
Fév 2013,2.0
Mar 2013,1.5
Avr 2013,1.1
Mai 2013,1.4
Juin 2013,1.8
Juil 2013,2.0
Août 2013,1.5
Sep 2013,1.2
Oct 2013,1.0
Nov 2013,1.2
Déc 2013,1.5
Jan 2014,1.6
Fév 2014,1.1
Mar 2014,1.5
Avr 2014,2.0
Mai 2014,2.1
Juin 2014,2.1
Juil 2014,2.0
Août 2014,1.7
Sep 2014,1.7
Oct 2014,1.7
Nov 2014,1.3
Déc 2014,0.8
Jan 2015,-0.1
Fév 2015,0.0
Mar 2015,-0.1
Avr 2015,-0.2
Mai 2015,0.0
Juin 2015,0.1
Juil 2015,0.2
Août 2015,0.2
Sep 2015,0.0
Oct 2015,0.2
Nov 2015,0.5
Déc 2015,0.7
Jan 2016,1.4
Fév 2016,1.0
Mar 2016,0.9
Avr 2016,1.1
Mai 2016,1.0
Juin 2016,1.0
Juil 2016,0.8
Août 2016,1.1
Sep 2016,1.5
Oct 2016,1.6
Nov 2016,1.7
Déc 2016,2.1
Jan 2017,2.5
Fév 2017,2.7
Mar 2017,2.4
Avr 2017,2.2
Mai 2017,1.9
Juin 2017,1.6
Juil 2017,1.7
Août 2017,1.9
Sep 2017,2.2
Oct 2017,2.0
Nov 2017,2.2
Déc 2017,2.1
Jan 2018,2.1
Fév 2018,2.2
Mar 2018,2.4
Avr 2018,2.5
Mai 2018,2.8
Juin 2018,2.9
Juil 2018,2.9
Août 2018,2.7
Sep 2018,2.3
Oct 2018,2.5
Nov 2018,2.2
Déc 2018,1.9
Jan 2019,1.6
Fév 2019,1.5
Mar 2019,1.9
Avr 2019,2.0
Mai 2019,1.8
Juin 2019,1.6
Juil 2019,1.8
Août 2019,1.7
Sep 2019,1.7
Oct 2019,1.8
Nov 2019,2.1
Déc 2019,2.3
Jan 2020,2.5
Fév 2020,2.3
Mar 2020,1.5
Avr 2020,0.3
Mai 2020,0.1
Juin 2020,0.6
Juil 2020,1.0
Août 2020,1.3
Sep 2020,1.4
Oct 2020,1.2
Nov 2020,1.2
Déc 2020,1.4
Jan 2021,1.4
Fév 2021,1.7
Mar 2021,2.6
Avr 2021,4.2
Mai 2021,5.0
Juin 2021,5.4
Juil 2021,5.4
Août 2021,5.3
Sep 2021,5.4
Oct 2021,6.2
Nov 2021,6.8
Déc 2021,7.0
Jan 2022,7.5
Fév 2022,7.9
Mar 2022,8.5
Avr 2022,8.3
Mai 2022,8.6
Juin 2022,9.1
Juil 2022,8.5
Août 2022,8.3
Sep 2022,8.2
Oct 2022,7.7
Nov 2022,7.1
Déc 2022,6.5
Jan 2023,6.4
Fév 2023,6.0
Mar 2023,5.0
Avr 2023,4.9
Mai 2023,4.0
Juin 2023,3.0
Juil 2023,3.2
Août 2023,3.7
Sep 2023,3.7
Oct 2023,3.2
Nov 2023,3.1
Déc 2023,3.4
Jan 2024,3.1
Fév 2024,3.2
Mar 2024,3.5
Avr 2024,3.4
Mai 2024,3.3
Juin 2024,3.0
Juil 2024,2.9
